jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,latitude,longitude,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
Data Scientist - Multiple Projects,Cartrack,Johannesburg,GP,ZA,en,"Johannesburg, Gauteng",Cartrack,"Fri, 22 Nov 2019 23:13:34 GMT","<b>Data</b> science, Python, R, NoSQL, PostgreSQL, RDBMS, Linux/Unix/Shell scripting, Cloud Computing etc. Cartrack is looking for passionate <b>data</b> science and…",http://www.indeed.co.za/viewjob?jk=38821c62d5a6fce0&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",-26.20227,28.04363,38821c62d5a6fce0,False,False,False,"Johannesburg, Gauteng",12 days ago,
Data Analyst/Scientist (12 Month Fixed Term Contract) - Band 6 - Based in Johannesburg,De Beers Group of Companies,,GP,ZA,en,Gauteng,De Beers Group of Companies,"Wed, 30 Oct 2019 18:15:46 GMT",<b>Data</b> <b>Scientist</b> - Region SA - 30 Oct 2019.pdf. Assist in development of <b>data</b> warehouse for retention of <b>data</b>. Evaluate and sanitise <b>data</b> sets from Business Units…,http://www.indeed.co.za/viewjob?jk=cbde79b647faaebd&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",,,cbde79b647faaebd,False,False,False,Gauteng,30+ days ago,
Data Analyst/Scientist (12 Month Fixed Term Contract) - Band 6 - Based in Johannesburg,Anglo American,,GP,ZA,en,Gauteng,Anglo American,"Wed, 30 Oct 2019 16:33:24 GMT",Assist in development of <b>data</b> warehouse for retention of <b>data</b>. Evaluate and sanitise <b>data</b> sets from Business Units (BU’s). 12 MONTH FIXED TERM CONTRACT.,http://www.indeed.co.za/viewjob?jk=0e85f91f07d7e67e&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",,,0e85f91f07d7e67e,False,False,False,Gauteng,30+ days ago,
Data Scientist (12 months),Nambiti Technologies,Midrand,GP,ZA,en,"Midrand, Gauteng",Nambiti Technologies,"Mon, 08 Apr 2019 21:17:09 GMT","Looking for a Senior <b>Data</b> <b>Scientist</b> with 7 years plus experience. Three year qualification in Computer Science, Statistics, Mathematics or related Quantitative…",http://www.indeed.co.za/viewjob?jk=55e76269a6c949a4&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",-25.96361,28.13778,55e76269a6c949a4,False,False,False,"Midrand, Gauteng",8 months ago,
Data Scientist,Panagora Group,Pretoria,GP,ZA,en,"Pretoria, Gauteng",Panagora Group,"Wed, 28 Aug 2019 12:38:54 GMT",The <b>Data</b> <b>Scientist</b> will provide technical expertise to the <b>data</b> science team.She/he will advise both Panagora South Africa and the USAID Office of Health and/or…,http://www.indeed.co.za/viewjob?jk=a951219006992c23&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",-25.74486,28.18783,a951219006992c23,False,False,False,"Pretoria, Gauteng",30+ days ago,
Data Scientist,Flash Mobile Vending,,,ZA,en,South Africa,Flash Mobile Vending,"Wed, 14 Aug 2019 17:07:30 GMT",FLASH is looking for a <b>Data</b> <b>Scientist</b> with a strong technical (IT) background to work on Fraud Detection within the business.,http://www.indeed.co.za/viewjob?jk=9069d39d0ab28733&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",,,9069d39d0ab28733,False,False,False,South Africa,30+ days ago,
Junior Energy Data Scientist,Mott MacDonald,,,ZA,en,South Africa,Mott MacDonald,"Mon, 14 Oct 2019 15:59:59 GMT","As a <b>Data</b> <b>Scientist</b>, you will have a chance to work with and learn from the other members of our team, including energy modellers, <b>data</b> <b>scientists</b>, solution…",http://www.indeed.co.za/viewjob?jk=9d9df5580ade1957&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",,,9d9df5580ade1957,False,False,False,South Africa,30+ days ago,
Data Scientist,Communicate Recruitment,Johannesburg North,GP,ZA,en,"Johannesburg North, Gauteng",Communicate Recruitment,"Mon, 02 Dec 2019 20:47:58 GMT",They will also be required to establish a <b>data</b> management tactical strategy to support the business’s need for quality <b>data</b>.,http://www.indeed.co.za/viewjob?jk=36d1f682a7b59fc0&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",-26.043566,27.976135,36d1f682a7b59fc0,False,False,False,"Johannesburg North, Gauteng",2 days ago,
Data Scientist- Selby,Altron,Johannesburg,GP,ZA,en,"Johannesburg, Gauteng",Altron,"Sun, 11 Aug 2019 18:58:49 GMT",Design patterns and <b>data</b> structures. Understanding of the client problem that needs to be solved with the solution within <b>Data</b> and Analytics.,http://www.indeed.co.za/viewjob?jk=8b9b6b230f305c34&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",-26.20227,28.04363,8b9b6b230f305c34,False,False,False,"Johannesburg, Gauteng",30+ days ago,
Data Scientist,Robert Walters,Johannesburg,GP,ZA,en,"Johannesburg, Gauteng",Robert Walters,"Fri, 01 Nov 2019 13:10:43 GMT",Key responsibilities in the <b>Data</b> <b>Scientist</b> role will include: A successful application in the <b>Data</b> <b>Scientist</b> role will include:,http://www.indeed.co.za/viewjob?jk=53b8a44658df5db8&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT6zC7z2DLmAeiPiLiEftFuk&indpubnum=9091824477922251&atk=1drajmvn0bj9d801,"indeed_clk(this,'6448');",-26.20227,28.04363,53b8a44658df5db8,False,False,False,"Johannesburg, Gauteng",30+ days ago,
