Role,City,Count
Software Engineer,San Francisco,24
Software Engineer,New York,20
Software Engineer,Mountain View,12
Software Engineer,Seattle,9
Software Engineer,Los Angeles,8
Software Engineer,Santa Clara,8
Software Engineer,San Jose,6
Software Engineer,Palo Alto,5
Software Engineer,Irvine,5
Software Engineer,Austin,4
Software Engineer,Chicago,4
Software Engineer,Brooklyn,4
Software Engineer,San Diego,4
Software Engineer,Milpitas,3
Software Engineer,Waltham,3
Software Engineer,Boston,3
Software Engineer,Redwood City,3
Software Engineer,Menlo Park,3
Software Engineer,Sunnyvale,3
Software Engineer,Columbus,2
Software Engineer,Cambridge,2
Software Engineer,Fremont,2
Software Engineer,Burbank,2
Software Engineer,Richardson,2
Software Engineer,Grand Rapids,2
Software Engineer,San Mateo,2
Software Engineer,Reston,2
Software Engineer,Denver,2
Software Engineer,Dallas,2
Software Engineer,Bellevue,2
Software Engineer,Herndon,2
Software Engineer,South Plainfield,1
Software Engineer,Madison,1
Software Engineer,Hollywood,1
Software Engineer,Manalapan,1
Software Engineer,Atlanta,1
Software Engineer,Santa Monica,1
Software Engineer,Newton,1
Software Engineer,Crystal City,1
Software Engineer,Houston,1
Software Engineer,Provo,1
Software Engineer,El Segundo,1
Software Engineer,Kirkland,1
Software Engineer,Fort Lee,1
Software Engineer,Redmond,1
Software Engineer,Pittsburgh,1
Software Engineer,Bohemia,1
Software Engineer,Westford,1
Software Engineer,Bethlehem,1
Software Engineer,Lewisville,1
Software Engineer,Cary,1
Software Engineer,Frisco,1
Software Engineer,Kansas City,1
Software Engineer,Campbell,1
Software Engineer,Lehi,1
Software Engineer,Portland,1
Software Engineer,Fort Lauderdale,1
Software Engineer,Oakland,1
Software Engineer,Blacksburg,1
Software Engineer,Davis,1
Software Engineer,North Billerica,1
Software Engineer,Humble,1
Software Engineer,Burlington,1
Software Engineer,Tampa,1
Software Engineer,Goleta,1
Software Engineer,Chantilly,1
Software Engineer,Rockford,1
Software Engineer,Bozeman,1
Software Engineer,Culver City,1
Software Engineer,Colorado Springs,1
Software Engineer,Wisconsin Rapids,1
Software Engineer,Galway,1
Software Engineer,Salt Lake City,1
Software Engineer,Charlotte,1
Software Engineer,Cincinnati,1
Software Engineer,Edgewater,1
Mechanical Engineer,Houston,5
Mechanical Engineer,Austin,4
Mechanical Engineer,Dallas,4
Mechanical Engineer,New York,3
Mechanical Engineer,Portland,3
Mechanical Engineer,Troy,2
Mechanical Engineer,Charlotte,2
Mechanical Engineer,Sylvania,2
Mechanical Engineer,Lancaster,2
Mechanical Engineer,Pueblo,2
Mechanical Engineer,Flagstaff,2
Mechanical Engineer,San Diego,2
Mechanical Engineer,Syracuse,2
Mechanical Engineer,Fort Worth,2
Mechanical Engineer,Van Nuys,2
Mechanical Engineer,Loveland,2
Mechanical Engineer,Haverhill,2
Mechanical Engineer,Kansas City,2
Mechanical Engineer,Minneapolis,2
Mechanical Engineer,Boston,2
Mechanical Engineer,San Fernando,2
Mechanical Engineer,Irvine,2
Mechanical Engineer,Torrance,1
Mechanical Engineer,Gaffney,1
Mechanical Engineer,Humble,1
Mechanical Engineer,Redwood City,1
Mechanical Engineer,Cairo,1
Mechanical Engineer,Corona,1
Mechanical Engineer,Raymond,1
Mechanical Engineer,Bryan,1
Mechanical Engineer,Englewood,1
Mechanical Engineer,Hartford,1
Mechanical Engineer,Pittsburgh,1
Mechanical Engineer,Naval Base,1
Mechanical Engineer,Los Angeles,1
Mechanical Engineer,San Francisco,1
Mechanical Engineer,Dearborn,1
Mechanical Engineer,Burlington,1
Mechanical Engineer,Totowa,1
Mechanical Engineer,Miramar,1
Mechanical Engineer,Nashville,1
Mechanical Engineer,Brodhead,1
Mechanical Engineer,Fullerton,1
Mechanical Engineer,Logan,1
Mechanical Engineer,Bowmansville,1
Mechanical Engineer,Devens,1
Mechanical Engineer,Arcata,1
Mechanical Engineer,Liberty Lake,1
Mechanical Engineer,Manassas Park,1
Mechanical Engineer,Vineyard,1
Mechanical Engineer,Mineral Ridge,1
Mechanical Engineer,Salisbury,1
Mechanical Engineer,Morgantown,1
Mechanical Engineer,San Marcos,1
Mechanical Engineer,Lindenhurst,1
Mechanical Engineer,Sauk Village,1
Mechanical Engineer,Carson,1
