Role,State,Count
Software Engineer,CA,98
Software Engineer,NY,26
Software Engineer,WA,13
Software Engineer,TX,12
Software Engineer,MA,11
Software Engineer,VA,7
Software Engineer,IL,5
Software Engineer,NJ,4
Software Engineer,CO,3
Software Engineer,UT,3
Software Engineer,OH,3
Software Engineer,NC,2
Software Engineer,WI,2
Software Engineer,MI,2
Software Engineer,FL,2
Software Engineer,PA,2
Software Engineer,MT,1
Software Engineer,OR,1
Software Engineer,MO,1
Software Engineer,VT,1
Software Engineer,GA,1
Mechanical Engineer,TX,31
Mechanical Engineer,CA,27
Mechanical Engineer,MI,15
Mechanical Engineer,NY,12
Mechanical Engineer,MA,11
Mechanical Engineer,OH,9
Mechanical Engineer,VA,9
Mechanical Engineer,WI,7
Mechanical Engineer,PA,7
Mechanical Engineer,MN,4
Mechanical Engineer,IA,4
Mechanical Engineer,OR,4
Mechanical Engineer,AZ,4
Mechanical Engineer,FL,4
Mechanical Engineer,WA,4
Mechanical Engineer,CO,3
Mechanical Engineer,MO,3
Mechanical Engineer,MD,3
Mechanical Engineer,IL,3
Mechanical Engineer,NC,3
Mechanical Engineer,OK,2
Mechanical Engineer,RI,2
Mechanical Engineer,TN,2
Mechanical Engineer,UT,2
Mechanical Engineer,NH,2
Mechanical Engineer,WY,2
Mechanical Engineer,SD,2
Mechanical Engineer,AL,2
Mechanical Engineer,SC,2
Mechanical Engineer,NJ,2
Mechanical Engineer,LA,1
Mechanical Engineer,ND,1
Mechanical Engineer,KS,1
Mechanical Engineer,AK,1
Mechanical Engineer,IN,1
Mechanical Engineer,NE,1
Mechanical Engineer,WV,1
Mechanical Engineer,DE,1
Mechanical Engineer,CT,1
Mechanical Engineer,VT,1
Mechanical Engineer,GA,1
Mechanical Engineer,ME,1
Mechanical Engineer,NM,1
Manufacturing,CA,27
Manufacturing,TX,13
Manufacturing,OH,13
Manufacturing,NC,13
Manufacturing,WI,11
Manufacturing,MI,9
Manufacturing,WA,7
Manufacturing,IL,7
Manufacturing,AZ,7
Manufacturing,FL,7
Manufacturing,TN,6
Manufacturing,NJ,6
Manufacturing,GA,6
Manufacturing,MA,6
Manufacturing,MN,6
Manufacturing,IN,6
Manufacturing,SC,5
Manufacturing,CO,5
Manufacturing,NY,4
Manufacturing,AL,4
Manufacturing,PA,4
Manufacturing,KY,4
Manufacturing,MD,3
Manufacturing,VA,3
Manufacturing,UT,3
Manufacturing,OR,2
Manufacturing,OK,2
Manufacturing,NM,2
Manufacturing,MO,2
Manufacturing,WY,1
Manufacturing,CT,1
Manufacturing,NV,1
Manufacturing,DC,1
Manufacturing,NE,1
Manufacturing,KS,1
Manufacturing,IA,1
Engineer,CA,37
Engineer,TX,26
Engineer,FL,12
Engineer,MI,11
Engineer,VA,10
Engineer,MD,9
Engineer,NY,9
Engineer,MA,8
Engineer,WA,6
Engineer,CO,6
Engineer,NJ,6
Engineer,WI,5
Engineer,TN,4
Engineer,PA,4
Engineer,OH,3
Engineer,MO,3
Engineer,IL,3
Engineer,GA,3
Engineer,IN,3
Engineer,OR,3
Engineer,AR,3
Engineer,NM,3
Engineer,CT,2
Engineer,NV,2
Engineer,LA,2
Engineer,AZ,2
Engineer,MN,1
Engineer,ID,1
Engineer,NE,1
Engineer,NH,1
Engineer,DC,1
Engineer,KS,1
Engineer,PR,1
Engineer,AL,1
Engineer,ME,1
Engineer,MT,1
Engineer,OK,1
Engineer,ND,1
Engineer,KY,1
Production Manager,CA,20
Production Manager,TX,18
Production Manager,MI,12
Production Manager,WA,12
Production Manager,NY,12
Production Manager,NC,10
Production Manager,OH,9
Production Manager,MA,8
Production Manager,TN,8
Production Manager,FL,8
Production Manager,IL,8
Production Manager,OR,8
Production Manager,PA,8
Production Manager,IN,7
Production Manager,NJ,4
Production Manager,KY,4
Production Manager,NV,4
Production Manager,CO,4
Production Manager,VA,3
Production Manager,GA,3
Production Manager,AZ,3
Production Manager,SC,3
Production Manager,MO,3
Production Manager,WI,3
Production Manager,CT,2
Production Manager,LA,2
Production Manager,AL,2
Production Manager,MD,1
Production Manager,IA,1
Production Manager,NH,1
Production Manager,KS,1
Production Manager,MS,1
Production Manager,MN,1
Production Manager,WV,1
Production Manager,NE,1
Production Manager,OK,1
Production Manager,DC,1
Production Manager,DE,1
Production Manager,NM,1
Electrical Engineer,CA,38
Electrical Engineer,TX,25
Electrical Engineer,NY,17
Electrical Engineer,MA,11
Electrical Engineer,PA,11
Electrical Engineer,WA,10
Electrical Engineer,IL,7
Electrical Engineer,MI,7
Electrical Engineer,WI,6
Electrical Engineer,NC,6
Electrical Engineer,AZ,5
Electrical Engineer,MD,5
Electrical Engineer,GA,4
Electrical Engineer,CO,4
Electrical Engineer,FL,4
Electrical Engineer,NJ,3
Electrical Engineer,TN,3
Electrical Engineer,OH,3
Electrical Engineer,UT,3
Electrical Engineer,IN,2
Electrical Engineer,VT,2
Electrical Engineer,VA,2
Electrical Engineer,AL,2
Electrical Engineer,SC,2
Electrical Engineer,LA,2
Electrical Engineer,MN,2
Electrical Engineer,OR,2
Electrical Engineer,OK,1
Electrical Engineer,CT,1
Electrical Engineer,NM,1
Electrical Engineer,KY,1
Electrical Engineer,WV,1
Electrical Engineer,MO,1
Electrical Engineer,PR,1
Electrical Engineer,RI,1
Electrical Engineer,DC,1
Electrical Engineer,NH,1
Electrical Engineer,KS,1
Production Supervisor,TX,24
Production Supervisor,CA,20
Production Supervisor,OH,15
Production Supervisor,WI,14
Production Supervisor,NC,10
