Role,jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,latitude,longitude,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
Data Analyst,Data Quality Analyste,Attijariwafa Bank,,,MA,fr,Maroc,Attijariwafa Bank,03/10/2018 20:15,Dans le cadre de la gouvernance du système de pilotage décisionnel Groupe et l'amélioration des reportings financiers et réglementaires selon différents axes de…,http://ma.indeed.com/viewjob?jk=4d9c9b0f05a9f693&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhjVlJqnNN7kWEIT_Bh4WSKksYztKg6YcWeBpo--oJoVp-YmrTjdT0pr6Ty3yPAoIYQ&indpubnum=9091824477922251&atk=1dlmkgkd3olng801,"indeed_clk(this,'9075');",,,4d9c9b0f05a9f693,FALSE,FALSE,FALSE,Maroc,il y a 11 mois,
Network Engineer,PPE Engineer,Leoni,القاهرة,C,EG,en,القاهرة,Leoni,07/10/2018 08:49,"Implements lessons learned, best practice and actively shares the information within the PPE <b>network</b>. Founded in 1917, LEONI is now a global wiring systems and…",http://eg.indeed.com/viewjob?jk=328130cfe3d82134&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav8EMRwYcTJDSbqHLJiHNrh9lNLuvnUCv3szicr8j-YF44YaVjopqMOwvtF5Jj1y_1Q&indpubnum=9091824477922251&atk=1dlmli7ccobp8800,"indeed_clk(this,'9851');",30.06263,31.24967,328130cfe3d82134,FALSE,FALSE,FALSE,القاهرة,منذ 11 شهر,
Data Analyst,In Country Analyst-Egypt,Euromonitor International,,,EG,en,مصر,Euromonitor International,07/10/2018 10:14,"Analyzing quantitative and qualitative <b>data</b> / information - Hypothesis testing. High level of numeracy - Ability to work with, analyse, and interpret <b>data</b>.",http://eg.indeed.com/viewjob?jk=064eea908a56bca5&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgFp4P5n2fNSScfjcUmJdU3ae_jCRRz8xvs6YSlRzVjZjWzR3Rd5m0z5atA4lGIu-U&indpubnum=9091824477922251&atk=1dlmkgnnof0bg800,"indeed_clk(this,'2487');",,,064eea908a56bca5,FALSE,FALSE,FALSE,مصر,منذ 11 شهر,
Data Analyst,Analyste junior M&A,H2dev,Casablanca,6,MA,fr,Casablanca,H2dev,08/10/2018 10:57,"Teaser, Information Mémorandum, Management Présentations, <b>Data</b>. H2dev – Holding de Développement – est le holding financier créé en Juillet 2008 par Rachid…",http://ma.indeed.com/viewjob?jk=e9ecdd3e307cb26c&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhjVlJqnNN7kWEIT_Bh4WSKksYztKg6YcWeBpo--oJoVp5Sq-p4TnwUdwN0h2Qbp4RA&indpubnum=9091824477922251&atk=1dlmkglp6ovv9800,"indeed_clk(this,'485');",33.593914,-7.61763,e9ecdd3e307cb26c,FALSE,FALSE,TRUE,Casablanca,il y a 11 mois,
Network Engineer,Field Service Engineer,Multi Technology Systems,المعادي,C,EG,en,المعادي,Multi Technology Systems,08/10/2018 12:22,"Ï‚§ Demonstrates a professional knowledge of <b>network</b> solutions, including <b>network</b> Services. Ï‚§ Holding HP ASE (Accredited System <b>Engineer</b>) certificate.",http://eg.indeed.com/viewjob?jk=0bb59e9db372272a&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav8EMRwYcTJDSbqHLJiHNrh9lNLuvnUCv3szicr8j-YF44YaVjopqMOwvtF5Jj1y_1Q&indpubnum=9091824477922251&atk=1dlmli7ccobp8800,"indeed_clk(this,'9851');",29.966667,31.25,0bb59e9db372272a,FALSE,FALSE,FALSE,المعادي,منذ 11 شهر,
Network Engineer,Principal Tailings Engineer,SLR Consulting,Fourways,GP,ZA,en,"Fourways, Gauteng",SLR Consulting,10/10/2018 11:29,"Connected <b>network</b> across the Mining sector. Client relationship development, both current SLR clients and prospective clients using your established <b>networks</b>.",http://www.indeed.co.za/viewjob?jk=71181770822d3de6&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav-mffMyGHnjMg9lViyIWBMyiNT7gNvkuUfJW4oNIIlpdAumJKbDWQGYGsokH1E9N8A&indpubnum=9091824477922251&atk=1dlmlhpgjf370800,"indeed_clk(this,'5650');",-26.02111,28.00917,71181770822d3de6,FALSE,FALSE,FALSE,"Fourways, Gauteng",11 months ago,
Data Analyst,Senior Research Analyst - Economics & Country Risk Team,IHS Markit,Centurion,GP,ZA,en,"Centurion, Gauteng",IHS,12/10/2018 09:02,"Candidate must be able to combine basic economic theory with modern statistical and <b>data</b> science techniques to create and automate <b>data</b> pipelines that cleans,…",http://www.indeed.co.za/viewjob?jk=968949651e4cc554&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgjvA5GduQUuYYP0Z8IBpVCae_jCRRz8xvs6YSlRzVjZhIgUOHXaPnwp4qBQMMGCfo&indpubnum=9091824477922251&atk=1dlmkfudaolnf800,"indeed_clk(this,'6553');",-25.87444,28.17056,968949651e4cc554,FALSE,FALSE,FALSE,"Centurion, Gauteng",11 months ago,
Data Analyst,Senior Technical/Financial Business Analyst,EOH,Cape Town,WC,ZA,en,"Cape Town, Western Cape 8001",EOH,12/10/2018 12:01,"Ability to analyse <b>data</b> and stored procedures using MS SQL Server and Oracle SQL Developer. Share trading experience – local and foreign exchanges – shares, ETF…",http://www.indeed.co.za/viewjob?jk=58ceed583f9cbe88&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgjvA5GduQUuYYP0Z8IBpVCae_jCRRz8xvs6YSlRzVjZsZ6QjORCA95dg5gLtzESPI&indpubnum=9091824477922251&atk=1dlmkg76lf2hb802,"indeed_clk(this,'5557');",-33.9166,18.4133,58ceed583f9cbe88,FALSE,FALSE,FALSE,"Cape Town, Western Cape 8001",11 months ago,
Data Analyst,Data Analyst,CCi,,WC,ZA,en,Western Cape,CCI,14/10/2018 05:26,"Providing technical expertise on <b>data</b> storage structures, <b>data</b> mining, and <b>data</b> cleansing. The <b>Data</b> <b>Analyst</b> will be responsible for sourcing, cleansing and…",http://www.indeed.co.za/viewjob?jk=8ee4a39d62a046e8&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgjvA5GduQUuYYP0Z8IBpVCae_jCRRz8xvs6YSlRzVjZplugoUT79XyOQKi27KzKQ8&indpubnum=9091824477922251&atk=1dlmkfr62f1b3800,"indeed_clk(this,'3250');",,,8ee4a39d62a046e8,FALSE,FALSE,FALSE,Western Cape,11 months ago,
Data Analyst,Financial Analyst,The Institute of Chartered Accountants of Nigeria,,,NG,en,Nigeria,The Institute of Chartered Accountants of Nigeria,14/10/2018 10:00,"Analyze company finance by collecting, monitoring studying <b>data</b>. Collect operational <b>data</b> to determine costs of operations and establish standard costs.",http://ng.indeed.com/viewjob?jk=8c5b5b95f1dd7516&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhiX_oyzwGyOD8OzPHbsD_KIae_jCRRz8xvs6YSlRzVjZvIlBnDegHLMZdCfYOc2WKw&indpubnum=9091824477922251&atk=1dlmkgs91ole1801,"indeed_clk(this,'7137');",,,8c5b5b95f1dd7516,FALSE,FALSE,FALSE,Nigeria,11 months ago,
