"","QA Analyst","Data Analyst","Helpdesk Technician","IT Business Analyst","QA Manager","Quality Manager","Cyber Security","Test Analyst","Production Supervisor","Security Manager","Analyst","Civil Engineer","Desktop Support","Front End Developer","GIS","Electrical Engineer","CAD Designer","Mechanical Engineer","Safety Manager","Solutions Architect","QA","Systems Administrator","Entry Level Mechanical Engineer","Project Engineer","Help Desk","Technical Support Engineer","Network Engineer","Safety Coordinator","Help Desk Technician","UX Designer","IT Specialist","System Administrator","Drafter","Information Technology","Systems Analyst","Software Developer","Manufacturing Engineer","Security Analyst","Production Manager","Telecommunications","Quality Engineer","QA Tester","Data Scientist","Manufacturing Manager","IT Support Specialist","IT Director","Network Administrator","Help Desk Analyst","Information Technology Manager","Technical Support","Engineer","Senior Software Engineer","Desktop Support Technician","Quality Assurance","Systems Engineer","Engineering Manager","IT Manager","Process Engineer","Software Engineer","Director of IT","Web Developer","Security Director","IT Support","Amazon","Manufacturing","Credit Analyst","res.km$cluster"
"customer",-0.39643424830282,-0.393845525733835,2.52431543407028,1.93217385610861,2.11176694990296,1.98505482552849,-0.397059159281475,-0.39847401134776,-0.399885147431917,2.18882020520253,-0.388838767660771,-0.391625539702175,2.62784756444716,-0.39066685488779,-0.400821310667871,-0.391014701029127,-0.385806541497655,1.86286406378653,-0.397204620946565,2.32513197514062,-0.393699600942431,1.86972298711919,-0.394603476670094,-0.393831244157964,2.4961044349996,2.70702019177452,1.72882858780248,-0.397513504287283,2.57801299557171,-0.394985892580911,2.30158497888639,-0.40200792386872,-0.373547318046374,2.0872733235437,-0.398586457145965,-0.397998908236735,-0.396016289073795,1.92842999891325,2.37007487944277,2.10024187267212,2.05460304996832,-0.388757165142496,-0.398130473765883,2.54310739629077,2.51138252088647,1.83413805392434,-0.403202383690698,3.01193325474589,2.20170630251938,2.60998885357175,1.84768720496239,-0.398592247632617,2.47368704553134,-0.39370955443394,2.39981571660472,2.48945412023464,-0.398213267106286,-0.39640905602461,-0.392421885603393,-0.404474990530527,-0.392996269461523,-0.402256689237911,2.28648661307037,2.4790104611263,-0.387676274506984,2.55690687559312,1
"work",3.79407199801135,4.30347772356117,3.42944668423788,3.62960220246783,3.40721177617176,3.71963988725304,3.94938143740639,3.84407980398718,3.73622584183278,3.74214429795564,4.37379425267139,3.91896373408746,3.6095884788626,3.65548682008336,3.86030153653995,3.86384010957971,4.03298221091379,3.77726539801789,3.68371448599188,3.6044018169133,3.98590749226024,3.56291738834951,3.78939635900402,3.81656236118791,3.49546575817022,3.78501437628557,4.03145907614258,3.65470755562894,3.395943804725,3.93202170253142,3.60191149432102,3.5511274074733,4.30542312554966,3.54462066199999,3.71815724949595,3.90468520182832,3.43661787784937,4.13751531515631,3.46703287525453,4.00990684331014,3.63797952094009,4.1937471341925,4.02346282885839,3.40484588541583,3.73884350159795,3.40958102006642,3.68237503117136,3.46050466697907,3.43520054489414,3.88434364575388,4.11378690588293,3.67131495609994,3.57889833556636,4.0683775517451,3.93450614260004,3.76121879517132,3.40868035217775,3.53231635197583,4.07923908748577,3.27638926777736,4.10285983880478,3.50408615900749,3.80053901708899,3.78604737732953,4.36856029737726,3.68345175926073,3
"microsoft",-0.39643424830282,-0.393845525733835,1.92731397119378,-0.401790120135318,-0.39815740099284,-0.394440066837246,-0.397059159281475,-0.39847401134776,-0.399885147431917,-0.400053282719332,-0.388838767660771,-0.391625539702175,1.95290068578655,-0.39066685488779,-0.400821310667871,-0.391014701029127,-0.385806541497655,-0.395699308059446,-0.397204620946565,-0.398474784762494,-0.393699600942431,1.93166912374957,-0.394603476670094,-0.393831244157964,1.49674311182898,-0.400139516522006,-0.396676478357611,-0.397513504287283,-0.401592094915271,-0.394985892580911,1.48888090673975,1.92219727094041,-0.373547318046374,-0.402361712985806,-0.398586457145965,-0.397998908236735,-0.396016289073795,-0.396922965553135,-0.402237146336017,-0.393555912514011,-0.396376966741409,-0.388757165142496,-0.398130473765883,-0.402835810718162,1.658401161409,-0.40260195973416,-0.403202383690698,-0.401110099202226,-0.402337098049573,-0.400125052099841,-0.39480729074022,-0.398592247632617,2.05169728024525,-0.39370955443394,-0.394695208341995,-0.39896056521478,-0.398213267106286,-0.39640905602461,-0.392421885603393,-0.404474990530527,-0.392996269461523,-0.402256689237911,1.58277211542792,-0.392185387582445,-0.387676274506984,-0.400273444034355,1
"working",1.93411468012859,2.42454842384317,2.44728298724751,2.165570253733,2.07128429908206,-0.394440066837246,-0.397059159281475,2.26136542728191,2.18255978495162,2.44770755399471,2.10352359012964,-0.391625539702175,2.50512995014523,2.32067323658772,2.23492478038851,2.0909839384927,1.69634522665434,1.86286406378653,1.92578010146455,2.34576535968534,2.20074155753089,2.46853564121284,1.90334461960688,1.50624381876736,-0.400003889290778,3.04521444573877,2.94656586529003,1.83228009482006,2.44169119404616,2.22399238867129,-0.400656061001196,-0.40200792386872,1.6107281056776,2.14799612931271,2.08031297911153,2.20968843119663,1.82810302022877,2.62603588825316,1.85151291778631,2.30244169309261,1.85939225217728,2.38034971092624,2.31408397475107,-0.402835810718162,2.17851174645624,-0.40260195973416,2.42368703972396,2.21230595467805,2.26044412358484,2.69787539096362,2.34339651453876,2.27953321803596,2.49378179625925,2.0380098738012,2.37690988935105,2.12301345118508,2.31816395082035,1.64980209397562,2.61161702452317,-0.404474990530527,2.22194044657092,2.29450791665739,2.56370747577801,1.90048592444618,2.26873244915177,-0.400273444034355,3
"risk",-0.39643424830282,-0.393845525733835,-0.402917545195131,-0.401790120135318,-0.39815740099284,-0.394440066837246,2.02733735444894,-0.39847401134776,-0.399885147431917,-0.400053282719332,-0.388838767660771,-0.391625539702175,-0.399186921667117,-0.39066685488779,-0.400821310667871,-0.391014701029127,-0.385806541497655,-0.395699308059446,1.67464661796064,-0.398474784762494,-0.393699600942431,-0.401635355994644,-0.394603476670094,-0.393831244157964,-0.400003889290778,-0.400139516522006,-0.396676478357611,-0.397513504287283,-0.401592094915271,-0.394985892580911,-0.400656061001196,-0.40200792386872,-0.373547318046374,-0.402361712985806,-0.398586457145965,-0.397998908236735,-0.396016289073795,1.95168352855791,-0.402237146336017,-0.393555912514011,-0.396376966741409,-0.388757165142496,-0.398130473765883,-0.402835810718162,-0.40123675537806,-0.40260195973416,-0.403202383690698,-0.401110099202226,-0.402337098049573,-0.400125052099841,-0.39480729074022,-0.398592247632617,-0.3998623085597,-0.39370955443394,-0.394695208341995,-0.39896056521478,-0.398213267106286,-0.39640905602461,-0.392421885603393,-0.404474990530527,-0.392996269461523,-0.402256689237911,-0.400423287019009,-0.392185387582445,-0.387676274506984,2.29874033975263,4
"change",-0.39643424830282,-0.393845525733835,-0.402917545195131,-0.401790120135318,-0.39815740099284,-0.394440066837246,-0.397059159281475,-0.39847401134776,-0.399885147431917,-0.400053282719332,-0.388838767660771,-0.391625539702175,-0.399186921667117,-0.39066685488779,-0.400821310667871,-0.391014701029127,-0.385806541497655,-0.395699308059446,-0.397204620946565,-0.398474784762494,-0.393699600942431,-0.401635355994644,-0.394603476670094,1.70056967747563,-0.400003889290778,-0.400139516522006,-0.396676478357611,-0.397513504287283,-0.401592094915271,-0.394985892580911,-0.400656061001196,-0.40200792386872,-0.373547318046374,-0.402361712985806,-0.398586457145965,-0.397998908236735,-0.396016289073795,-0.396922965553135,-0.402237146336017,-0.393555912514011,-0.396376966741409,-0.388757165142496,-0.398130473765883,-0.402835810718162,-0.40123675537806,-0.40260195973416,-0.403202383690698,-0.401110099202226,-0.402337098049573,-0.400125052099841,-0.39480729074022,-0.398592247632617,-0.3998623085597,-0.39370955443394,-0.394695208341995,-0.39896056521478,-0.398213267106286,-0.39640905602461,-0.392421885603393,-0.404474990530527,-0.392996269461523,-0.402256689237911,-0.400423287019009,-0.392185387582445,-0.387676274506984,-0.400273444034355,4
"programs",-0.39643424830282,-0.393845525733835,-0.402917545195131,-0.401790120135318,-0.39815740099284,-0.394440066837246,-0.397059159281475,-0.39847401134776,-0.399885147431917,1.69261945335084,-0.388838767660771,-0.391625539702175,-0.399186921667117,-0.39066685488779,-0.400821310667871,-0.391014701029127,-0.385806541497655,-0.395699308059446,2.38619148788837,-0.398474784762494,-0.393699600942431,-0.401635355994644,-0.394603476670094,-0.393831244157964,-0.400003889290778,-0.400139516522006,-0.396676478357611,2.23964623311851,-0.401592094915271,-0.394985892580911,-0.400656061001196,-0.40200792386872,-0.373547318046374,-0.402361712985806,-0.398586457145965,-0.397998908236735,-0.396016289073795,-0.396922965553135,-0.402237146336017,-0.393555912514011,-0.396376966741409,-0.388757165142496,-0.398130473765883,-0.402835810718162,-0.40123675537806,-0.40260195973416,-0.403202383690698,-0.401110099202226,-0.402337098049573,-0.400125052099841,-0.39480729074022,-0.398592247632617,-0.3998623085597,-0.39370955443394,-0.394695208341995,-0.39896056521478,-0.398213267106286,-0.39640905602461,-0.392421885603393,-0.404474990530527,-0.392996269461523,2.01689979546229,-0.400423287019009,-0.392185387582445,-0.387676274506984,-0.400273444034355,4
"specifications",-0.39643424830282,-0.393845525733835,-0.402917545195131,-0.401790120135318,-0.39815740099284,-0.394440066837246,-0.397059159281475,-0.39847401134776,-0.399885147431917,-0.400053282719332,-0.388838767660771,1.74024198157422,-0.399186921667117,-0.39066685488779,-0.400821310667871,-0.391014701029127,-0.385806541497655,-0.395699308059446,-0.397204620946565,-0.398474784762494,-0.393699600942431,-0.401635355994644,-0.394603476670094,-0.393831244157964,-0.400003889290778,-0.400139516522006,-0.396676478357611,-0.397513504287283,-0.401592094915271,-0.394985892580911,-0.400656061001196,-0.40200792386872,-0.373547318046374,-0.402361712985806,-0.398586457145965,-0.397998908236735,-0.396016289073795,-0.396922965553135,-0.402237146336017,-0.393555912514011,-0.396376966741409,-0.388757165142496,-0.398130473765883,-0.402835810718162,-0.40123675537806,-0.40260195973416,-0.403202383690698,-0.401110099202226,-0.402337098049573,-0.400125052099841,-0.39480729074022,-0.398592247632617,-0.3998623085597,-0.39370955443394,-0.394695208341995,-0.39896056521478,-0.398213267106286,-0.39640905602461,-0.392421885603393,-0.404474990530527,-0.392996269461523,-0.402256689237911,-0.400423287019009,-0.392185387582445,-0.387676274506984,-0.400273444034355,4
"modeling",-0.39643424830282,-0.393845525733835,-0.402917545195131,-0.401790120135318,-0.39815740099284,-0.394440066837246,-0.397059159281475,-0.39847401134776,-0.399885147431917,-0.400053282719332,-0.388838767660771,-0.391625539702175,-0.399186921667117,-0.39066685488779,-0.400821310667871,-0.391014701029127,-0.385806541497655,-0.395699308059446,-0.397204620946565,-0.398474784762494,-0.393699600942431,-0.401635355994644,-0.394603476670094,-0.393831244157964,-0.400003889290778,-0.400139516522006,-0.396676478357611,-0.397513504287283,-0.401592094915271,-0.394985892580911,-0.400656061001196,-0.40200792386872,-0.373547318046374,-0.402361712985806,-0.398586457145965,-0.397998908236735,-0.396016289073795,-0.396922965553135,-0.402237146336017,-0.393555912514011,-0.396376966741409,-0.388757165142496,1.69870758727243,-0.402835810718162,-0.40123675537806,-0.40260195973416,-0.403202383690698,-0.401110099202226,-0.402337098049573,-0.400125052099841,-0.39480729074022,-0.398592247632617,-0.3998623085597,-0.39370955443394,-0.394695208341995,-0.39896056521478,-0.398213267106286,-0.39640905602461,-0.392421885603393,-0.404474990530527,-0.392996269461523,-0.402256689237911,-0.400423287019009,-0.392185387582445,-0.387676274506984,-0.400273444034355,4
"cases",2.158205923247,-0.393845525733835,-0.402917545195131,-0.401790120135318,-0.39815740099284,-0.394440066837246,-0.397059159281475,1.84370468898469,-0.399885147431917,-0.400053282719332,-0.388838767660771,-0.391625539702175,-0.399186921667117,-0.39066685488779,-0.400821310667871,-0.391014701029127,-0.385806541497655,-0.395699308059446,-0.397204620946565,-0.398474784762494,1.86751058304808,-0.401635355994644,-0.394603476670094,-0.393831244157964,-0.400003889290778,-0.400139516522006,-0.396676478357611,-0.397513504287283,-0.401592094915271,-0.394985892580911,-0.400656061001196,-0.40200792386872,-0.373547318046374,-0.402361712985806,-0.398586457145965,-0.397998908236735,-0.396016289073795,-0.396922965553135,-0.402237146336017,-0.393555912514011,-0.396376966741409,2.38034971092624,-0.398130473765883,-0.402835810718162,-0.40123675537806,-0.40260195973416,-0.403202383690698,-0.401110099202226,-0.402337098049573,-0.400125052099841,-0.39480729074022,-0.398592247632617,-0.3998623085597,-0.39370955443394,-0.394695208341995,-0.39896056521478,-0.398213267106286,-0.39640905602461,-0.392421885603393,-0.404474990530527,-0.392996269461523,-0.402256689237911,-0.400423287019009,-0.392185387582445,-0.387676274506984,-0.400273444034355,4
