"","Software Engineer","Mechanical Engineer","Manufacturing","Var.4","Engineer","Production Manager","Electrical Engineer","Production Supervisor","Web Developer","Software Developer","Quality Assurance","QA Tester","Senior Software Engineer","Safety Manager","Civil Engineer","Solutions Architect","Manufacturing Engineer","Project Engineer","Front End Developer","Quality Engineer","QA Analyst","UX Designer","QA Manager","CAD Designer","Engineering Manager","Quality Manager","Manufacturing Manager","Process Engineer","QA","Drafter","Entry Level Mechanical Engineer","Technical Support","IT Manager","Network Engineer","Systems Administrator","IT Director","Information Technology","Amazon","System Administrator","Network Administrator","Systems Engineer","Desktop Support","Safety Coordinator","Security Manager","Helpdesk Technician","IT Support","Desktop Support Technician","Help Desk","Help Desk Technician","IT Business Analyst","Technical Support Engineer","IT Support Specialist","Help Desk Analyst","IT Specialist","Information Technology Manager","Telecommunications","GIS","Director of IT","Cyber Security","Security Analyst","Security Director","Data Scientist","Analyst","Data Analyst","Credit Analyst","Systems Analyst","Test Analyst"
"Oracle",0.0301507537688442,0,0,0,0,0.02,0.01,0.015,0.050251256281407,0.055,0.0150753768844221,0.035,0.0904522613065327,0,0,0.115,0.01,0.005,0.04,0.035,0.075,0.01,0.04,0,0.0050251256281407,0.015,0.03,0,0.05,0,0,0.0402010050251256,0.0452261306532663,0.005,0.04,0.025,0.025,0.00505050505050505,0.035,0.015,0.0402010050251256,0.01,0,0,0.01,0.0100502512562814,0.0100502512562814,0.015,0.01,0.06,0.025,0.025,0.0100502512562814,0.025,0.0703517587939698,0.005,0.05,0.0351758793969849,0.005,0.005,0.0050251256281407,0.07,0.03,0.085,0.0157894736842105,0.11,0.095
"Soapui",0.0050251256281407,0,0,0,0.0100502512562814,0,0,0,0,0.005,0.0150753768844221,0.025,0,0,0,0,0,0,0,0.025,0.035,0,0.02,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.01
"Product",0.733668341708543,0.805,0.83756345177665,0,0.638190954773869,1,0.525,0.99,0.50251256281407,0.57,0.698492462311558,0.525,0.728643216080402,0.335,0.18,0.665,0.94,0.515,0.52,0.785,0.62,0.815,0.85,0.485,0.804020100502513,0.76,0.975,0.919597989949749,0.56,0.405,0.635,0.467336683417085,0.587939698492462,0.375,0.435,0.57,0.475,0.368686868686869,0.405,0.365,0.557788944723618,0.39,0.355,0.395,0.4,0.391959798994975,0.35678391959799,0.425,0.32,0.5,0.595,0.4,0.4321608040201,0.445,0.577889447236181,0.33,0.565,0.603015075376884,0.305,0.375,0.346733668341709,0.6,0.445,0.52,0.342105263157895,0.43,0.585
"App.Development",0.0050251256281407,0,0,0,0,0.005,0,0,0.0251256281407035,0.005,0,0.01,0.0050251256281407,0,0,0,0,0,0.025,0,0,0,0.005,0,0,0,0,0.0050251256281407,0.02,0,0,0,0.0050251256281407,0,0,0.015,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.0100502512562814,0,0.005,0.0150753768844221,0.005,0,0,0.005,0,0,0,0,0
"Petrochemical",0,0.005,0,0,0,0.005,0,0.01,0,0,0.0050251256281407,0,0,0.025,0.005,0,0,0,0,0,0,0,0,0.005,0.0100502512562814,0,0.01,0.0150753768844221,0,0,0.02,0.0050251256281407,0,0,0.005,0,0,0,0,0,0.0050251256281407,0,0.01,0.01,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.0050251256281407,0,0.005,0,0,0,0,0,0.005,0
"Assemblies",0.0301507537688442,0.405,0.294416243654822,0,0.175879396984925,0.17,0.14,0.155,0.0150753768844221,0.015,0.050251256281407,0.02,0.0100502512562814,0.02,0.015,0.02,0.495,0.145,0.005,0.13,0,0.005,0.065,0.245,0.100502512562814,0.035,0.19,0.175879396984925,0.015,0.15,0.215,0.0251256281407035,0.0100502512562814,0,0.02,0.03,0.04,0.0151515151515152,0.015,0.035,0.0552763819095477,0.02,0.025,0.025,0.015,0.0100502512562814,0.0402010050251256,0.01,0.01,0.015,0.01,0.03,0.0050251256281407,0.03,0,0.01,0.035,0.0301507537688442,0.025,0.005,0.0251256281407035,0.01,0.02,0.015,0,0.005,0.02
"Space.Systems",0,0.005,0,0,0.0251256281407035,0,0.005,0,0,0,0,0,0.0150753768844221,0,0,0.005,0,0.005,0,0,0,0,0.01,0,0.0100502512562814,0,0,0.0050251256281407,0,0.005,0.015,0,0.0150753768844221,0,0,0.005,0.005,0,0,0,0.0251256281407035,0,0,0.005,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.005,0.005
"Agile",0.311557788944724,0.025,0.0152284263959391,0,0.0552763819095477,0.03,0.02,0.015,0.256281407035176,0.39,0.135678391959799,0.43,0.477386934673367,0.015,0,0.315,0.035,0.01,0.325,0.185,0.42,0.285,0.315,0.01,0.170854271356784,0.05,0.035,0.0100502512562814,0.355,0.005,0.045,0.0402010050251256,0.110552763819095,0.02,0.055,0.13,0.04,0.0808080808080808,0.02,0.01,0.125628140703518,0.02,0.015,0.05,0.02,0.0201005025125628,0.0100502512562814,0.02,0.015,0.295,0.135,0.015,0.0603015075376884,0.01,0.115577889447236,0.045,0.025,0.160804020100503,0.05,0.04,0.0301507537688442,0.14,0.055,0.075,0.00526315789473684,0.115,0.38
"Optimization",0.221105527638191,0.09,0.106598984771574,0,0.160804020100503,0.23,0.085,0.19,0.206030150753769,0.155,0.0452261306532663,0.055,0.21608040201005,0.035,0.015,0.21,0.23,0.04,0.24,0.12,0.06,0.115,0.14,0.02,0.165829145728643,0.09,0.21,0.396984924623116,0.075,0.015,0.12,0.0904522613065327,0.251256281407035,0.19,0.145,0.265,0.14,0.146464646464646,0.18,0.155,0.180904522613065,0.085,0.04,0.08,0.045,0.0804020100502513,0.0904522613065327,0.025,0.05,0.12,0.185,0.11,0.085427135678392,0.11,0.206030150753769,0.105,0.045,0.276381909547739,0.06,0.06,0.115577889447236,0.36,0.18,0.185,0.0526315789473684,0.13,0.105
"Microsoft.Office",0,0.215,0.0913705583756345,0,0.0954773869346734,0.135,0.075,0.17,0.0351758793969849,0.02,0.165829145728643,0.065,0.0150753768844221,0.24,0.18,0.015,0.195,0.23,0.01,0.15,0.095,0.02,0.09,0.175,0.135678391959799,0.095,0.165,0.185929648241206,0.05,0.115,0.2,0.221105527638191,0.115577889447236,0.045,0.13,0.08,0.125,0.0303030303030303,0.18,0.13,0.0653266331658292,0.25,0.235,0.16,0.36,0.241206030150754,0.311557788944724,0.23,0.225,0.12,0.065,0.22,0.271356783919598,0.23,0.130653266331658,0.13,0.215,0.0904522613065327,0.05,0.06,0.130653266331658,0.055,0.15,0.175,0.189473684210526,0.095,0.08
"Cpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0.005,0,0,0.005,0,0.0050251256281407,0,0,0,0,0,0.005,0,0,0,0.00505050505050505,0,0,0,0,0.005,0.01,0.005,0,0,0,0,0.01,0.005,0,0,0,0,0,0,0.0150753768844221,0,0,0.0050251256281407,0,0.005,0.005,0.0263157894736842,0,0
"Reinforced.Concrete",0,0,0,0,0.0050251256281407,0,0.005,0,0,0,0,0,0,0.005,0.015,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0.0100502512562814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
