Role,City,Count,latitude,longitude
Software Engineer,San Francisco,24,37.77495,-122.41896
Software Engineer,New York,20,40.71427,-74.00597
Software Engineer,Mountain View,12,37.41524,-122.07459
Software Engineer,Seattle,9,47.564075,-122.32746
Software Engineer,Los Angeles,8,34.025925,-118.20066
Software Engineer,Santa Clara,8,37.35411,-121.95524
Software Engineer,San Jose,6,37.378456,-121.91545
Software Engineer,Palo Alto,5,37.44188,-122.14302
Software Engineer,Irvine,5,33.663704,-117.75229
Software Engineer,Austin,4,30.350517,-97.73209
Software Engineer,Chicago,4,41.898796,-87.73999
Software Engineer,Brooklyn,4,40.702927,-73.98948
Software Engineer,San Diego,4,32.735878,-117.21574
Software Engineer,Milpitas,3,37.45039,-121.91066
Software Engineer,Waltham,3,42.36068,-71.25842
Software Engineer,Boston,3,42.35843,-71.05977
Software Engineer,Redwood City,3,37.488365,-122.21795
Software Engineer,Menlo Park,3,37.45383,-122.18219
Software Engineer,Sunnyvale,3,37.37488,-122.01444
Software Engineer,Columbus,2,39.199917,-85.93479
Software Engineer,Cambridge,2,42.362232,-71.08832
Software Engineer,Fremont,2,37.54827,-121.98857
Software Engineer,Burbank,2,34.175518,-118.3228
Software Engineer,Richardson,2,32.98607,-96.70703
Software Engineer,Grand Rapids,2,42.96336,-85.66809
Software Engineer,San Mateo,2,37.559647,-122.30516
Software Engineer,Reston,2,38.96872,-77.3411
Software Engineer,Denver,2,39.675697,-104.88514
Software Engineer,Dallas,2,32.78306,-96.80667
Software Engineer,Bellevue,2,47.610577,-122.17873
Software Engineer,Herndon,2,38.96955,-77.3861
Software Engineer,South Plainfield,1,40.580307,-74.413826
Software Engineer,Madison,1,43.051086,-89.49126
Software Engineer,Hollywood,1,26.016844,-80.15108
Software Engineer,Manalapan,1,40.25733,-74.39571
Software Engineer,Atlanta,1,33.749,-84.38798
Software Engineer,Santa Monica,1,34.008286,-118.480865
Software Engineer,Newton,1,42.33704,-71.20922
Software Engineer,Crystal City,1,38.8565,-77.0512
Software Engineer,Houston,1,29.76328,-95.36327
Software Engineer,Provo,1,40.23384,-111.65853
Software Engineer,El Segundo,1,33.923798,-118.405525
Software Engineer,Kirkland,1,47.678047,-122.209465
Software Engineer,Fort Lee,1,40.852814,-73.97145
Software Engineer,Redmond,1,47.67399,-122.12151
Software Engineer,Pittsburgh,1,40.44062,-79.99589
Software Engineer,Bohemia,1,40.76926,-73.11511
Software Engineer,Westford,1,42.57331,-71.41097
Software Engineer,Bethlehem,1,40.68447,-75.38826
Software Engineer,Lewisville,1,33.04623,-96.99417
Software Engineer,Cary,1,35.79154,-78.78112
Software Engineer,Frisco,1,33.14832,-96.82484
Software Engineer,Kansas City,1,39.11417,-94.62746
Software Engineer,Campbell,1,37.27827,-121.9552
Software Engineer,Lehi,1,40.39162,-111.85077
Software Engineer,Portland,1,45.561554,-122.53197
Software Engineer,Fort Lauderdale,1,26.12231,-80.14338
Software Engineer,Oakland,1,37.81288,-122.26983
Software Engineer,Blacksburg,1,37.199352,-80.40797
Software Engineer,Davis,1,38.540768,-121.74716
Software Engineer,North Billerica,1,42.58343,-71.2845
Software Engineer,Humble,1,29.998718,-95.1597
Software Engineer,Burlington,1,48.492275,-122.32757
Software Engineer,Tampa,1,27.94752,-82.45843
Software Engineer,Goleta,1,34.43583,-119.82764
Software Engineer,Chantilly,1,38.89428,-77.4311
Software Engineer,Rockford,1,43.1382,-85.55188
Software Engineer,Bozeman,1,45.67965,-111.03856
Software Engineer,Culver City,1,34.026394,-118.38581
Software Engineer,Colorado Springs,1,38.83388,-104.82136
Software Engineer,Wisconsin Rapids,1,44.38835,-89.79035
Software Engineer,Galway,1,43.01869,-74.03152
Software Engineer,Salt Lake City,1,40.733772,-112.00485
Software Engineer,Charlotte,1,35.226482,-80.8408
Software Engineer,Cincinnati,1,39.162,-84.45689
Software Engineer,Edgewater,1,28.975063,-80.91213
Mechanical Engineer,Houston,5,29.76328,-95.36327
Mechanical Engineer,Austin,4,30.350517,-97.73209
Mechanical Engineer,Dallas,4,32.918983,-96.74475
Mechanical Engineer,New York,3,40.71427,-74.00597
Mechanical Engineer,Portland,3,45.52345,-122.67621
Mechanical Engineer,Troy,2,42.744,-73.60512
Mechanical Engineer,Charlotte,2,35.131935,-80.90606
Mechanical Engineer,Sylvania,2,41.717045,-83.70309
Mechanical Engineer,Lancaster,2,40.03771,-76.303955
Mechanical Engineer,Pueblo,2,38.285225,-104.57714
Mechanical Engineer,Flagstaff,2,35.202274,-111.61026
Mechanical Engineer,San Diego,2,32.71533,-117.15726
Mechanical Engineer,Syracuse,2,43.106937,-76.15278
Mechanical Engineer,Fort Worth,2,32.75718,-97.323975
Mechanical Engineer,Van Nuys,2,34.175934,-118.46647
Mechanical Engineer,Loveland,2,40.396427,-105.07438
Mechanical Engineer,Haverhill,2,42.7762,-71.07728
Mechanical Engineer,Kansas City,2,38.86376,-94.55223
Mechanical Engineer,Minneapolis,2,44.853306,-93.35641
Mechanical Engineer,Boston,2,42.35843,-71.05977
Mechanical Engineer,San Fernando,2,34.28588,-118.428444
Mechanical Engineer,Irvine,2,33.66946,-117.82311
Mechanical Engineer,Torrance,1,33.83585,-118.34063
Mechanical Engineer,Gaffney,1,35.07179,-81.64982
Mechanical Engineer,Humble,1,30.003447,-95.27783
Mechanical Engineer,Redwood City,1,37.53607,-122.258865
Mechanical Engineer,Cairo,1,30.861753,-84.23665
Mechanical Engineer,Corona,1,33.87529,-117.56644
Mechanical Engineer,Raymond,1,40.33478,-83.46576
Mechanical Engineer,Bryan,1,30.703194,-96.3938
Mechanical Engineer,Englewood,1,39.578106,-104.862564
Mechanical Engineer,Hartford,1,41.76371,-72.68509
Mechanical Engineer,Pittsburgh,1,40.44062,-79.99589
Mechanical Engineer,Naval Base,1,36.942635,-76.307175
Mechanical Engineer,Los Angeles,1,34.025925,-118.20066
Mechanical Engineer,San Francisco,1,37.7271,-122.37785
Mechanical Engineer,Dearborn,1,42.32226,-83.17631
Mechanical Engineer,Burlington,1,42.50482,-71.19561
Mechanical Engineer,Totowa,1,40.9051,-74.20987
Mechanical Engineer,Miramar,1,25.98731,-80.23227
Mechanical Engineer,Nashville,1,36.1719,-86.7207
Mechanical Engineer,Brodhead,1,42.615417,-89.38483
Mechanical Engineer,Fullerton,1,33.87522,-117.972786
Mechanical Engineer,Logan,1,41.73549,-111.83439
Mechanical Engineer,Bowmansville,1,40.19676,-76.01744
Mechanical Engineer,Devens,1,42.537346,-71.625824
Mechanical Engineer,Arcata,1,40.867805,-124.0935
Mechanical Engineer,Liberty Lake,1,47.67719,-117.09388
Mechanical Engineer,Manassas Park,1,38.784,-77.46971
Mechanical Engineer,Vineyard,1,40.32813,-111.74367
Mechanical Engineer,Mineral Ridge,1,41.142498,-80.77351
Mechanical Engineer,Salisbury,1,35.67097,-80.47423
Mechanical Engineer,Morgantown,1,40.159145,-75.875534
Mechanical Engineer,San Marcos,1,29.88327,-97.94139
Mechanical Engineer,Lindenhurst,1,40.68677,-73.37345
Mechanical Engineer,Sauk Village,1,41.48837,-87.56754
Mechanical Engineer,Carson,1,37.035706,-77.395386
Mechanical Engineer,Glen Allen,1,37.66577,-77.571144
Mechanical Engineer,Weyers Cave,1,38.28529,-78.91819
Mechanical Engineer,Harrisonburg,1,38.528095,-78.70604
Mechanical Engineer,Orlando,1,28.53834,-81.37924
Mechanical Engineer,Conklin,1,42.06539,-75.81878
Mechanical Engineer,Bismarck,1,46.797207,-100.75291
Mechanical Engineer,Mahwah,1,41.07419,-74.15352
Mechanical Engineer,F E Warren AFB,1,41.16634,-104.86275
Mechanical Engineer,Huntsville,1,34.73037,-86.5861
Mechanical Engineer,Jackson Hole,1,43.472027,-110.76616
Mechanical Engineer,Winthrop,1,44.54302,-94.36637
Mechanical Engineer,Mauston,1,43.801064,-90.09751
Mechanical Engineer,Katy,1,29.78579,-95.8244
Mechanical Engineer,Guthrie,1,35.857037,-97.43927
Mechanical Engineer,Chicago,1,41.801247,-87.78249
Mechanical Engineer,New Braunfels,1,29.70317,-98.12362
Mechanical Engineer,Midland,1,31.917677,-102.21394
Mechanical Engineer,Kentwood,1,42.909775,-85.58829
Mechanical Engineer,Michigan City,1,41.70754,-86.89503
Mechanical Engineer,Somersworth,1,43.245167,-70.88885
Mechanical Engineer,Edwardsville,1,38.81144,-89.95316
Mechanical Engineer,Novi,1,42.49295,-83.43897
