Skill,January,February,March,April,May,June,July,August,September,Volatility
scripting,50,41,44,48,41,39,40,35,34,5.03
analysis,42,34,38,43,34,42,46,45,48,4.74
sql,38,38,31,39,38,34,29,24,21,6.27
databases,33,34,31,35,34,32,30,27,27,2.79
automate,33,28,31,30,28,29,17,16,16,6.53
project management,29,28,25,26,25,24,21,17,18,3.94
restful,25,21,19,22,22,26,27,28,33,4.05
programming,25,24,19,22,25,26,31,26,28,3.21
marketing,25,21,31,26,19,16,21,24,27,4.29
strategy,25,28,25,22,25,26,25,24,24,1.52
emails,25,21,19,26,19,18,25,18,16,3.46
word,25,21,31,26,25,24,15,15,15,5.45
statistics,25,21,25,26,19,21,18,15,14,4.11
agile,25,21,19,22,19,18,12,9,9,5.45
economics,25,21,25,26,19,18,13,9,8,6.48
suppliers,25,21,31,26,19,16,9,7,7,8.29
computer science,21,24,19,22,22,18,20,23,21,1.79
pressure,21,24,19,22,25,24,17,13,11,4.72
redis,21,21,19,22,19,16,15,14,11,3.53
mentor,21,21,19,22,19,16,8,6,7,6.20
software engineering,21,21,19,17,19,16,8,4,4,6.63
finance,17,14,19,17,16,13,21,22,26,3.89
research,17,14,19,17,16,13,18,22,23,3.13
consulting,17,14,12,13,16,18,20,19,22,3.15
senior,17,14,12,13,16,13,17,15,21,2.62
modelling,17,17,12,17,16,18,21,20,20,2.54
optimization,17,17,12,17,16,13,19,21,20,2.81
creative,17,14,12,13,12,13,13,12,14,1.49
growth,17,14,19,17,16,16,12,13,14,2.11
sales,17,14,12,17,16,13,17,14,14,1.79
mining,17,14,12,17,16,16,13,12,12,2.05
math,17,14,12,17,12,13,17,12,10,2.48
visualization,17,17,12,17,16,16,10,7,10,3.62
python,17,14,12,17,12,11,8,9,9,3.14
transformer,17,14,12,13,12,13,9,8,9,2.69
powerpoint,17,14,19,17,12,13,10,8,8,3.78
mathematics,17,14,12,17,12,13,12,9,7,3.10
c#,17,14,12,13,12,11,10,6,5,3.54
rust,17,14,12,17,12,11,4,3,4,5.19
unit testing,17,17,12,13,16,13,6,3,3,5.36
commissioning,17,14,19,17,12,11,5,3,2,6.03
security,12,14,12,13,16,13,20,22,21,3.81
architecture,12,17,12,13,16,18,17,15,15,2.11
scala,12,14,19,13,16,16,13,12,12,2.28
credit,12,14,12,13,12,11,9,9,7,2.11
business intelligence,12,14,12,13,12,13,9,7,5,2.90
uml,12,14,12,13,12,13,9,6,4,3.27
design patterns,12,14,12,13,12,11,6,4,3,3.92
version control,12,14,12,13,12,11,5,3,2,4.37
risk,8,7,6,9,9,11,15,18,18,4.37
