"","QA Analyst","Data Analyst","Helpdesk Technician","IT Business Analyst","QA Manager","Quality Manager","Cyber Security","Test Analyst","Production Supervisor","Security Manager","Analyst","Civil Engineer","Desktop Support","Front End Developer","GIS","Electrical Engineer","CAD Designer","Mechanical Engineer","Safety Manager","Solutions Architect","QA","Systems Administrator","Entry Level Mechanical Engineer","Project Engineer","Help Desk","Technical Support Engineer","Network Engineer","Safety Coordinator","Help Desk Technician","UX Designer","IT Specialist","System Administrator","Drafter","Information Technology","Systems Analyst","Software Developer","Manufacturing Engineer","Security Analyst","Production Manager","Telecommunications","Quality Engineer","QA Tester","Data Scientist","Manufacturing Manager","IT Support Specialist","IT Director","Network Administrator","Help Desk Analyst","Information Technology Manager","Technical Support","Engineer","Senior Software Engineer","Desktop Support Technician","Quality Assurance","Systems Engineer","Engineering Manager","IT Manager","Process Engineer","Software Engineer","Director of IT","Web Developer","Security Director","IT Support","Amazon","Manufacturing","Credit Analyst","res.km$cluster"
"qa.engineer",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,3.75492186477083,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"experience.designing",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,3.15191111930055,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"safety.professional",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,2.60990937345476,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"human.resources",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,0.993463088808492,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,1.86272618450681,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,2.80883248201361,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,4.04171772403177,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"state.federal",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,1.46809866771114,-0.237680659249272,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,2.17521510441987,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,1.86544738540155,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,2.37734074976972,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"attention.detail",-0.236009793089194,3.47981360966399,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,4.21812652795101,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,3.46590099523209,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"safety.quality",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,0.873292615824529,-0.240408273275214,-0.24611833929567,-0.247172779635778,1.44676287155668,-0.245023990515178,-0.237680659249272,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,0.60637763420055,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,0.296322892170872,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"solving.skills",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,1.97494583666181,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"civil.engineer",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,12.3252941334548,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"cad.year",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"active.directory",-0.236009793089194,-0.234792070010828,4.62176652977056,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,-0.210543959685182,4.66055965057202,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,6.72549339498079,-0.223235789860636,-0.20772357581192,3.47660361380485,2.67385639626185,-0.213021351768773,-0.252764137695227,3.25875123850044,-0.244875982955415,2.97980571526646,6.44091615831933,-0.191991983258803,3.39662712576291,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,3.99487812819316,-0.249265431751334,4.32397992174126,3.448331592295,-0.242905333297896,3.47351500207936,-0.232050138801834,-0.233108792653031,4.32374140560679,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,4.49935456867268,-0.230436921685735,-0.238996526678213,-0.240856738318253,2
"electrical.engineer",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,9.59611558769318,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,-0.230436921685735,-0.238996526678213,-0.240856738318253,3
"X15.00",-0.236009793089194,-0.234792070010828,-0.249687267503438,-0.24161427146437,-0.23846030781243,-0.240408273275214,-0.24611833929567,-0.247172779635778,-0.244903908486141,-0.245023990515178,-0.237680659249272,-0.210543959685182,-0.241103789055207,-0.220460201091265,-0.246905323438179,-0.210368901012966,-0.209875616957092,-0.223896946653742,-0.259072802175523,-0.23520822013977,-0.233401640276039,-0.243360774173549,-0.223235789860636,-0.20772357581192,-0.228543594400363,-0.247285250660132,-0.213021351768773,-0.252764137695227,-0.226413126499334,-0.244875982955415,-0.238287395145901,-0.247392505945725,-0.191991983258803,-0.236296156159418,-0.244857896287076,-0.22646897885603,-0.220694586521399,-0.239439571650226,-0.24087865984924,-0.23691427973058,-0.221917332401368,-0.238807166236452,-0.224422416291997,-0.242072019938287,-0.236982492933978,-0.249265431751334,-0.246526591712453,-0.236915605194145,-0.242905333297896,-0.245481306406073,-0.232050138801834,-0.233108792653031,-0.24168517826202,-0.224045023660413,-0.237025005374932,-0.234067106096142,-0.232709167395964,-0.230611756228597,-0.232256383014004,-0.248775991329418,-0.229001705212928,-0.250622893801939,-0.241411344177194,4.96439461118929,-0.238996526678213,-0.240856738318253,3
