Skill,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Volatility,"%change","Average"
design,73.4375,72.05882353,71.55963303,70.68965517,55.83756345,59.45945946,69.84126984,6.937993308,10.38181038,67.5548435
scripting,59.375,58.82352941,56.88073394,62.06896552,55.83756345,66.40926641,66.66666667,4.34712451,0.2574002574,60.86596077
java,59.375,52.94117647,52.29357798,55.74712644,50.25380711,53.66795367,60.31746032,3.737536426,6.64950665,54.94230028
testing,54.6875,69.11764706,54.12844037,55.17241379,55.32994924,55.79150579,57.14285714,5.279492747,1.351351351,57.3386162
programming,37.5,47.05882353,40.36697248,40.22988506,32.48730964,37.25868726,52.38095238,6.657466075,15.12226512,41.04037576
implementation,43.75,50,49.5412844,39.08045977,37.56345178,33.59073359,47.61904762,6.417900052,14.02831403,43.02071102
web,56.25,60.29411765,51.37614679,44.25287356,45.68527919,42.47104247,45.23809524,6.771579108,2.767052767,49.36679356
databases,23.4375,33.82352941,38.53211009,32.18390805,34.01015228,41.50579151,42.85714286,6.586110024,1.351351351,35.19287631
sql,28.125,32.35294118,37.6146789,32.18390805,34.5177665,35.32818533,41.26984127,4.219622696,5.941655942,34.48461732
performance,39.0625,45.58823529,37.6146789,39.08045977,35.02538071,32.62548263,40.47619048,4.12650721,7.850707851,38.49613254
product,59.375,41.17647059,47.70642202,46.55172414,41.11675127,38.8030888,38.88888889,7.320597294,0.0858000858,44.80262082
javascript,42.1875,35.29411765,40.36697248,42.52873563,34.5177665,38.61003861,38.0952381,3.135696039,-0.5148005148,38.80005271
html,35.9375,32.35294118,36.69724771,35.05747126,35.02538071,32.04633205,38.0952381,2.201084942,6.048906049,35.03030157
view,32.8125,29.41176471,18.34862385,22.98850575,29.44162437,32.62548263,37.3015873,6.410270317,4.676104676,28.99001266
unity,23.4375,41.17647059,24.7706422,33.90804598,22.84263959,33.78378378,34.92063492,7.035745164,1.136851137,30.69138815
recruitment,31.25,26.47058824,13.76146789,24.71264368,14.72081218,28.57142857,34.12698413,7.842793859,5.555555556,24.80198924
angular,20.3125,23.52941176,20.18348624,21.26436782,18.78172589,26.06177606,34.12698413,5.290049206,8.065208065,23.46575027
computer science,34.375,36.76470588,33.94495413,33.33333333,36.04060914,35.90733591,32.53968254,1.566757123,-3.367653368,34.70080299
architect,40.625,23.52941176,36.69724771,24.71264368,29.44162437,25.86872587,31.74603175,6.416321577,5.877305877,30.37438359
apis,31.25,30.88235294,45.87155963,26.43678161,28.42639594,25.0965251,30.95238095,6.867979758,5.855855856,31.27371374
documentation,23.4375,30.88235294,35.77981651,33.90804598,29.94923858,27.99227799,27.77777778,4.112687787,-0.2145002145,29.9610014
excel,32.8125,44.11764706,34.86238532,32.18390805,25.38071066,29.34362934,26.98412698,6.209526524,-2.35950236,32.24070106
architecture,35.9375,20.58823529,29.35779817,22.4137931,25.88832487,22.39382239,25.3968254,5.252896336,3.003003003,25.99661418
agile,25,33.82352941,33.02752294,28.16091954,25.38071066,26.25482625,25.3968254,3.758155532,-0.858000858,28.1491906
consulting,4.6875,20.58823529,17.43119266,16.09195402,17.76649746,18.91891892,24.6031746,6.156198138,5.684255684,17.15535328
ssas,18.75,20.58823529,20.18348624,12.64367816,11.6751269,9.845559846,24.6031746,5.512507662,14.75761476,16.89846586
deployment,25,32.35294118,26.60550459,24.71264368,20.81218274,17.37451737,23.01587302,4.700963206,5.641355641,24.26766608
c#,17.1875,22.05882353,32.11009174,21.83908046,24.87309645,30.30888031,22.22222222,5.218249358,-8.086658087,24.37138496
diploma,3.125,8.823529412,8.256880734,9.770114943,9.137055838,17.95366795,21.42857143,6.272292487,3.474903475,11.21354576
