Skill,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
design,73.4375,72.05882353,71.55963303,70.68965517,55.83756345,59.45945946,69.84126984
scripting,59.375,58.82352941,56.88073394,62.06896552,55.83756345,66.40926641,66.66666667
java,59.375,52.94117647,52.29357798,55.74712644,50.25380711,53.66795367,60.31746032
testing,54.6875,69.11764706,54.12844037,55.17241379,55.32994924,55.79150579,57.14285714
programming,37.5,47.05882353,40.36697248,40.22988506,32.48730964,37.25868726,52.38095238
implementation,43.75,50,49.5412844,39.08045977,37.56345178,33.59073359,47.61904762
web,56.25,60.29411765,51.37614679,44.25287356,45.68527919,42.47104247,45.23809524
databases,23.4375,33.82352941,38.53211009,32.18390805,34.01015228,41.50579151,42.85714286
sql,28.125,32.35294118,37.6146789,32.18390805,34.5177665,35.32818533,41.26984127
performance,39.0625,45.58823529,37.6146789,39.08045977,35.02538071,32.62548263,40.47619048
product,59.375,41.17647059,47.70642202,46.55172414,41.11675127,38.8030888,38.88888889
javascript,42.1875,35.29411765,40.36697248,42.52873563,34.5177665,38.61003861,38.0952381
html,35.9375,32.35294118,36.69724771,35.05747126,35.02538071,32.04633205,38.0952381
view,32.8125,29.41176471,18.34862385,22.98850575,29.44162437,32.62548263,37.3015873
unity,23.4375,41.17647059,24.7706422,33.90804598,22.84263959,33.78378378,34.92063492
recruitment,31.25,26.47058824,13.76146789,24.71264368,14.72081218,28.57142857,34.12698413
angular,20.3125,23.52941176,20.18348624,21.26436782,18.78172589,26.06177606,34.12698413
computer science,34.375,36.76470588,33.94495413,33.33333333,36.04060914,35.90733591,32.53968254
architect,40.625,23.52941176,36.69724771,24.71264368,29.44162437,25.86872587,31.74603175
apis,31.25,30.88235294,45.87155963,26.43678161,28.42639594,25.0965251,30.95238095
documentation,23.4375,30.88235294,35.77981651,33.90804598,29.94923858,27.99227799,27.77777778
excel,32.8125,44.11764706,34.86238532,32.18390805,25.38071066,29.34362934,26.98412698
architecture,35.9375,20.58823529,29.35779817,22.4137931,25.88832487,22.39382239,25.3968254
agile,25,33.82352941,33.02752294,28.16091954,25.38071066,26.25482625,25.3968254
consulting,4.6875,20.58823529,17.43119266,16.09195402,17.76649746,18.91891892,24.6031746
ssas,18.75,20.58823529,20.18348624,12.64367816,11.6751269,9.845559846,24.6031746
deployment,25,32.35294118,26.60550459,24.71264368,20.81218274,17.37451737,23.01587302
c#,17.1875,22.05882353,32.11009174,21.83908046,24.87309645,30.30888031,22.22222222
diploma,3.125,8.823529412,8.256880734,9.770114943,9.137055838,17.95366795,21.42857143
css,28.125,22.05882353,25.68807339,21.26436782,19.2893401,21.42857143,21.42857143
customer,25,38.23529412,26.60550459,28.73563218,23.35025381,30.11583012,21.42857143
visualization,21.875,8.823529412,17.43119266,10.34482759,11.6751269,10.23166023,20.63492063
senior,18.75,17.64705882,14.67889908,20.11494253,19.79695431,19.88416988,20.63492063
automation,23.4375,10.29411765,11.00917431,12.06896552,17.76649746,16.02316602,19.84126984
automate,23.4375,10.29411765,11.00917431,12.06896552,17.76649746,16.02316602,19.84126984
mvc,14.0625,11.76470588,23.85321101,14.36781609,13.70558376,15.63706564,19.04761905
spring,7.8125,7.352941176,5.504587156,4.597701149,7.106598985,7.528957529,19.04761905
html5,12.5,11.76470588,16.51376147,12.64367816,16.24365482,9.845559846,19.04761905
front end,23.4375,13.23529412,15.59633028,13.79310345,12.69035533,12.16216216,19.04761905
solidity,25,14.70588235,16.51376147,15.51724138,15.73604061,14.67181467,18.25396825
marketing,18.75,26.47058824,21.10091743,20.11494253,19.2893401,13.12741313,17.46031746
git,18.75,14.70588235,23.85321101,17.24137931,16.24365482,17.37451737,17.46031746
scrum,14.0625,10.29411765,11.9266055,7.471264368,7.106598985,8.88030888,16.66666667
mobile,29.6875,14.70588235,27.52293578,19.54022989,19.79695431,16.6023166,16.66666667
jquery,10.9375,14.70588235,23.85321101,11.49425287,17.76649746,17.18146718,16.66666667
web app,25,11.76470588,14.67889908,8.620689655,10.15228426,11.96911197,15.87301587
analytics,14.0625,26.47058824,22.93577982,17.81609195,18.78172589,16.7953668,15.87301587
sql server,7.8125,11.76470588,13.76146789,9.195402299,12.69035533,11.38996139,15.87301587
optimization,17.1875,14.70588235,19.26605505,13.2183908,14.72081218,10.42471042,15.87301587
unit testing,10.9375,14.70588235,14.67889908,11.49425287,14.72081218,11.1969112,15.87301587
modelling,9.375,14.70588235,15.59633028,7.471264368,11.16751269,8.88030888,15.07936508
react,20.3125,10.29411765,15.59633028,12.64367816,12.18274112,10.23166023,15.07936508
window,3.125,2.941176471,10.09174312,7.471264368,5.583756345,7.722007722,15.07936508
windows,3.125,2.941176471,10.09174312,7.471264368,5.583756345,7.722007722,15.07936508
strategy,7.8125,20.58823529,18.34862385,18.3908046,14.72081218,10.23166023,14.28571429
linux,12.5,16.17647059,11.00917431,13.2183908,8.629441624,12.16216216,14.28571429
maintenance,12.5,10.29411765,11.9266055,15.51724138,9.644670051,15.25096525,13.49206349
web services,14.0625,22.05882353,27.52293578,13.2183908,16.75126904,14.67181467,13.49206349
enterprise,15.625,16.17647059,17.43119266,9.770114943,18.78172589,12.16216216,13.49206349
c,14.0625,7.352941176,9.174311927,12.06896552,7.614213198,8.301158301,13.49206349
analysis,10.9375,19.11764706,22.93577982,19.54022989,20.81218274,16.02316602,13.49206349
api,7.8125,10.29411765,19.26605505,7.471264368,9.137055838,10.23166023,13.49206349
cloud,17.1875,20.58823529,13.76146789,16.09195402,13.19796954,14.86486486,13.49206349
json,3.125,5.882352941,18.34862385,9.195402299,13.19796954,8.494208494,12.6984127
bootstrap,4.6875,2.941176471,11.9266055,6.32183908,11.16751269,8.301158301,12.6984127
node,12.5,14.70588235,11.00917431,10.91954023,12.69035533,10.42471042,12.6984127
xml,0,7.352941176,12.8440367,5.172413793,9.137055838,8.88030888,12.6984127
networking,7.8125,16.17647059,11.9266055,18.96551724,8.629441624,16.02316602,11.9047619
scala,25,8.823529412,11.00917431,14.36781609,12.18274112,13.51351351,11.9047619
design patterns,15.625,8.823529412,13.76146789,9.195402299,10.15228426,9.652509653,11.9047619
media,25,11.76470588,10.09174312,10.34482759,13.19796954,18.33976834,11.9047619
finance,7.8125,14.70588235,8.256880734,9.195402299,7.614213198,13.70656371,11.9047619
security,10.9375,16.17647059,18.34862385,14.94252874,16.75126904,16.02316602,11.9047619
mysql,7.8125,13.23529412,12.8440367,16.66666667,15.73604061,13.70656371,11.9047619
php,17.1875,14.70588235,14.67889908,15.51724138,13.19796954,15.25096525,11.9047619
web applications,25,10.29411765,13.76146789,8.620689655,9.644670051,11.1969112,11.11111111
lean,7.8125,4.411764706,8.256880734,7.471264368,7.614213198,7.528957529,11.11111111
usability,18.75,14.70588235,19.26605505,11.49425287,13.70558376,4.826254826,11.11111111
emails,10.9375,13.23529412,13.76146789,16.66666667,12.18274112,12.16216216,11.11111111
email,10.9375,13.23529412,13.76146789,16.66666667,12.18274112,12.16216216,11.11111111
components,12.5,10.29411765,8.256880734,9.770114943,6.091370558,11.1969112,10.31746032
search,12.5,22.05882353,25.68807339,22.4137931,16.24365482,14.09266409,10.31746032
connectivity,9.375,14.70588235,6.422018349,2.873563218,6.598984772,9.459459459,10.31746032
code review,10.9375,10.29411765,1.834862385,3.448275862,5.076142132,7.722007722,10.31746032
css3,7.8125,8.823529412,8.256880734,6.32183908,12.18274112,6.94980695,10.31746032
redis,4.6875,17.64705882,11.00917431,6.32183908,4.060913706,5.598455598,10.31746032
mining,7.8125,11.76470588,5.504587156,4.597701149,3.553299492,6.370656371,10.31746032
technical specification,0,8.823529412,4.587155963,1.724137931,2.538071066,3.861003861,10.31746032
js,17.1875,8.823529412,14.67889908,12.64367816,12.69035533,10.81081081,10.31746032
soap,0,10.29411765,11.9266055,5.747126437,7.614213198,9.845559846,10.31746032
