Role,Country,Salary,Per,Yearly Earnings
Analyst,South Africa,367704,yr,25003.872000000003
Analyst,Nigeria,3300K,yr,9240.0
Analyst,Morocco,9500,mo,11400.0
Analyst,Egypt,24500,yr,1519.0
CAD Designer,South Africa,,,
CAD Designer,Nigeria,,,
CAD Designer,Morocco,,,
CAD Designer,Egypt,,,
Civil Engineer,South Africa,231052,yr,15711.536000000002
Civil Engineer,Nigeria,10000K,yr,28000.0
Civil Engineer,Morocco,,,
Civil Engineer,Egypt,5000,mo,3720.0
Credit Analyst,South Africa,643334,yr,43746.712
Credit Analyst,Nigeria,10000K,yr,28000.0
Credit Analyst,Morocco,17500,mo,21000.0
Credit Analyst,Egypt,5100,mo,3794.3999999999996
Cyber Security,South Africa,,,
Cyber Security,Nigeria,,,
Cyber Security,Morocco,,,
Cyber Security,Egypt,,,
Data Analyst,South Africa,268328,yr,18246.304
Data Analyst,Nigeria,,,
Data Analyst,Morocco,10750,mo,12900.0
Data Analyst,Egypt,3500,mo,2604.0
Data Scientist,South Africa,505946,yr,34404.328
Data Scientist,Nigeria,,,
Data Scientist,Morocco,400000,yr,40000.0
Data Scientist,Egypt,,,
Desktop Support,South Africa,15429,mo,12590.064
Desktop Support,Nigeria,,,
Desktop Support,Morocco,,,
Desktop Support,Egypt,,,
Desktop Support Technician,South Africa,,,
Desktop Support Technician,Nigeria,,,
Desktop Support Technician,Morocco,,,
Desktop Support Technician,Egypt,,,
Director of IT,South Africa,,,
Director of IT,Nigeria,,,
Director of IT,Morocco,,,
Director of IT,Egypt,,,
Drafter,South Africa,,,
Drafter,Nigeria,,,
Drafter,Morocco,,,
Drafter,Egypt,,,
Electrical Engineer,South Africa,34059,mo,27792.144
Electrical Engineer,Nigeria,,,
Electrical Engineer,Morocco,,,
Electrical Engineer,Egypt,4000,mo,2976.0
Engineer,South Africa,510610,yr,34721.48
Engineer,Nigeria,1400K,yr,3920.0
Engineer,Morocco,16000,mo,19200.0
Engineer,Egypt,3250,mo,2418.0
Engineering Manager,South Africa,,,
Engineering Manager,Nigeria,9870K,yr,27636.0
Engineering Manager,Morocco,,,
Engineering Manager,Egypt,8000,mo,5952.0
Entry Level Mechanical Engineer,South Africa,,,
Entry Level Mechanical Engineer,Nigeria,,,
Entry Level Mechanical Engineer,Morocco,,,
Entry Level Mechanical Engineer,Egypt,,,
Front End Developer,South Africa,48541,yr,3300.788
Front End Developer,Nigeria,,,
Front End Developer,Morocco,7400,mo,8880.0
Front End Developer,Egypt,4814,mo,3581.616
GIS,South Africa,,,
GIS,Nigeria,,,
GIS,Morocco,,,
GIS,Egypt,,,
Help Desk,South Africa,,,
Help Desk,Nigeria,,,
