City,Latitude,Longitude,Job Count
Pretoria,-25.74420551724139,28.18854672413795,58
Cape Town,-33.91667064516114,18.416655437788062,217
Johannesburg,-26.202251239669412,28.043957851239735,242
nan,nan,nan,0
Centurion,-25.874440000000025,28.170560000000016,39
Sandton,-26.10138500000002,28.046190000000017,32
Klerksdorp,-26.866670000000003,26.66667,2
Durbanville,-33.83331999999999,18.65,3
Bryanston,-26.050000000000004,28.033330000000003,9
Midrand,-25.96361000000001,28.137780000000014,28
Durban,-29.85000000000001,31.016669999999984,36
Dunkeld,-26.133329999999997,28.05,3
Nuweland,-33.979027,18.449821,3
Randburg,-26.094100000000005,28.00123,5
George,-33.96667,22.45,4
Rosettenville,-26.25,28.05,1
Remote,25.0,-40.0,2
Northern Suburbs,-33.85409,18.597699999999993,19
Pinelands,-33.94222,18.50681,1
Bellville,-33.9,18.633329999999997,7
Claremont,-33.98056,18.46528,3
Fourways,-26.021109999999997,28.009170000000005,9
Port Elizabeth,-33.96019999999999,25.6244,10
Paulshof,-26.02995,28.04672,1
Parow,-33.9,18.6,2
Observatory,-33.93333,18.46667,2
Woodmead,-26.047375,28.079681,2
Somerset West,-34.074244666666665,18.827192,6
Rivonia,-26.05,28.05,3
Bedfordview,-26.16667,28.149999999999995,3
Paarl,-33.73333,18.96667,2
Century City,-33.89115,18.51274,4
Johannesburg North,-26.043566000000023,27.976135,33
Braamfontein,-26.198133,28.021814000000003,1
Gauteng,-26.3583,28.2667,3
Rosebank,-32.653904999999995,20.06779,6
Umhlanga Rocks,-29.71667,31.066670000000002,2
Ballito,-29.53598,31.213959999999997,4
Stellenbosch,-33.933329999999984,18.85000000000001,27
Umhlanga,-29.725279999999998,31.085829999999994,10
Rustenburg,-25.66667,27.25,1
Roodepoort Nedersetting,-27.21667,27.5,1
City Bowl,-33.92615,18.414323999999997,10
Woodstock,-33.91667,18.433329999999998,3
East London,-33.02916,27.854585999999987,13
Brackenfell,-33.86667,18.683329999999998,2
Southern Suburbs,-33.98333,18.474999999999998,9
Westville,-29.83333,30.933329999999998,2
Illovo,-30.066940000000002,30.815741999999997,1
Johannesburg South,-26.271342999999998,27.995155,1
Bronkhorstspruit,-25.808329999999998,28.74056,1
Sasolburg,-26.813579999999998,27.81695,1
East Rand,-26.183601,28.016191,2
Brits,-25.633329999999997,27.78333,1
Soutrivier,-33.93333,18.46667,2
Pretoria North,-25.66222,28.16528,1
Pinetown,-29.816670000000002,30.85,1
Pietermaritzburg,-29.616670000000003,30.383329999999997,2
Upington,-28.45,21.25,1
Kuils River,-33.93333,18.66667,1
Lagos,6.454070000000001,3.3946700000000125,275
Ondo,7.093160000000001,4.83528,1
Abuja,9.076478000000005,7.398573999999997,44
Yaba,6.507593,3.368983,3
Port Harcourt,4.815554,7.049844,3
Osogbo,7.771039999999999,4.55698,1
Ilorin,8.49664,4.54214,1
Kano,12.000119999999999,8.51672,2
Ibadan,7.377560000000001,3.90591,4
Lekki,6.469841000000001,3.585171,4
Oyo,7.85257,3.93125,2
Enugu,6.44132,7.498830000000001,3
Ado Odo,6.6,2.9333299999999998,1
Ikeja,6.59651,3.34205,4
Owerri,5.483630000000001,7.03325,2
Uyo,5.05127,7.9335,1
Casablanca,33.59391400000001,-7.6176299999999975,26
Tanger,35.76727,-5.79975,5
Kénitra,34.26593,-6.577189999999999,1
Rabat,34.01325,-6.83255,5
Menara,31.636002,-8.057428999999999,1
Figuig,32.687508,-2.777981,1
المعادي,29.966666999999987,31.25,16
القاهرة,30.062629999999952,31.24967000000007,145
الإسكندرية,31.21564,29.955270000000002,21
مدينة نصر,30.049999999999986,31.366667000000003,27
مصر الجديدة,30.086617999999994,31.330250000000003,9
أسيوط,27.18096,31.18368,2
الجيزة,30.008079999999996,31.210929999999998,20
قنا,26.164179999999998,32.72671,2
بنها,30.459059999999997,31.17858,1
مدينة العبور,30.205,31.4575,1
الإسماعيلية,30.60427,32.27225,2
القاهرة الجديدة,30.03,31.47,6
السادس من أكتوبر,29.928542999999998,30.918783,2
الدقي,30.0381,31.2111,1
شبين الكوم,30.55258,31.009040000000002,4
كفر الشيخ,31.1143,30.94012,1
المنصورة,31.03637,31.38069,1
دمياط,31.41648,31.81332,2
