skill,ratio
ions,0.9296338672768879
less,0.9296338672768879
development,0.9221967963386728
developer,0.9221967963386728
software,0.9176201372997712
work,0.8449656750572082
operators,0.8306636155606407
operator,0.8306636155606407
operations,0.8306636155606407
aging,0.7419908466819222
require,0.7391304347826086
apply,0.7191075514874142
team,0.704233409610984
nsis,0.700228832951945
form,0.6824942791762014
forms,0.6824942791762014
logs,0.6784897025171625
logging,0.6784897025171625
kill,0.6773455377574371
applications,0.6636155606407322
application,0.6636155606407322
using,0.6584668192219679
design,0.6544622425629291
ports,0.6338672768878718
port,0.6338672768878718
relativity,0.6218535469107551
mpls,0.61441647597254
technology,0.6098398169336384
ringing,0.6075514874141876
scripting,0.6069794050343249
scripts,0.6069794050343249
ssis,0.6001144164759725
responsive,0.5961098398169337
response,0.5961098398169337
edges,0.5932494279176201
edge,0.5932494279176201
stan,0.5909610983981693
base,0.5778032036613272
knowledge,0.5594965675057209
testing,0.5583524027459954
test,0.5583524027459954
tabbing,0.5469107551487414
tabs,0.5469107551487414
java,0.5371853546910755
jobs,0.5348970251716247
data,0.5331807780320366
system,0.5183066361556065
date,0.5177345537757437
used,0.5148741418764302
solutions,0.4816933638443936
management,0.47368421052631576
rationality,0.4708237986270023
ratio,0.4708237986270023
ratings,0.4622425629290618
rating,0.4622425629290618
web,0.4610983981693364
parts,0.45080091533180777
community,0.45080091533180777
communication,0.45080091533180777
mains,0.448512585812357
main,0.448512585812357
this,0.44565217391304346
services,0.44336384439359267
servicing,0.44336384439359267
service,0.44336384439359267
sine,0.43592677345537756
business,0.43592677345537756
new,0.42505720823798626
computability,0.4244851258581236
computation,0.4244851258581236
computers,0.4244851258581236
computer,0.4244851258581236
units,0.42162471395881007
relates,0.42162471395881007
proj,0.41876430205949655
project,0.41647597254004576
projection,0.41647597254004576
productivity,0.4096109839816934
production,0.4096109839816934
product,0.4096109839816934
rest,0.40789473684210525
position,0.40675057208237986
positioning,0.40675057208237986
code,0.40274599542334094
implementation,0.3987414187643021
envi,0.39816933638443935
environment,0.39645308924485123
environments,0.39645308924485123
engine,0.39473684210526316
engineering,0.39473684210526316
