skill,ratio
design,0.6544622425629291
scripting,0.6069794050343249
testing,0.5583524027459954
java,0.5371853546910755
data,0.5331807780320366
web,0.4610983981693364
product,0.4096109839816934
implementation,0.3987414187643021
programming,0.38958810068649885
javascript,0.38615560640732266
performance,0.3695652173913043
computer science,0.36384439359267734
database,0.36270022883295194
databases,0.36270022883295194
html,0.3426773455377574
sql,0.34096109839816935
lead,0.32379862700228834
documentation,0.30778032036613273
excel,0.30720823798627
unity,0.2894736842105263
customer,0.2780320366132723
apis,0.27745995423340963
view,0.2723112128146453
c#,0.26773455377574373
architect,0.2654462242562929
recruitment,0.2585812356979405
agile,0.2580091533180778
architecture,0.2294050343249428
angular,0.2236842105263158
css,0.2231121281464531
deployment,0.19965675057208238
senior,0.19622425629290619
mobile,0.1950800915331808
types,0.18993135011441648
analytics,0.18649885583524028
consulting,0.17734553775743708
analysis,0.17334096109839817
jquery,0.17162471395881007
marketing,0.17048054919908467
search,0.16704805491990846
git,0.16533180778032036
solidity,0.16361556064073227
media,0.15389016018306637
web services,0.15331807780320367
security,0.15217391304347827
concept,0.15217391304347827
automate,0.15160183066361557
automation,0.15160183066361557
php,0.14759725400457666
mvc,0.14759725400457666
ssas,0.14702517162471396
optimization,0.14073226544622425
networking,0.14016018306636155
front end,0.13672768878718536
web app,0.13672768878718536
cloud,0.13443935926773457
enterprise,0.13329519450800914
mysql,0.13157894736842105
html5,0.12757437070938216
visualization,0.12700228832951946
scala,0.12643020594965676
unit testing,0.12528604118993136
strategy,0.12528604118993136
research,0.12528604118993136
web applications,0.12471395881006865
diploma,0.12414187643020595
maintenance,0.12356979405034325
react,0.12242562929061784
email,0.12242562929061784
emails,0.12242562929061784
creative,0.12128146453089245
software engineering,0.12128146453089245
web development,0.12013729977116705
sql server,0.11784897025171624
python,0.11727688787185354
finance,0.11556064073226545
linux,0.11041189931350115
modelling,0.10983981693363844
js,0.10240274599542334
usability,0.09839816933638444
api,0.09782608695652174
ui,0.09725400457665904
node,0.09668192219679633
iteration,0.09610983981693363
design patterns,0.09610983981693363
components,0.09553775743707094
growth,0.09324942791762014
scalability,0.09324942791762014
scrum,0.09324942791762014
flow,0.09267734553775744
json,0.09267734553775744
android,0.08981693363844394
mentor,0.08924485125858124
digital,0.08752860411899313
c,0.08752860411899313
xml,0.08638443935926773
infrastructure,0.08409610983981694
project management,0.08409610983981694
pact,0.08352402745995423
oracle,0.08352402745995423
css3,0.08352402745995423
scaling,0.08352402745995423
windows,0.08295194508009153
window,0.08295194508009153
relationships,0.08180778032036613
relationship,0.08180778032036613
lifecycle,0.08123569794050343
version control,0.08066361556064074
engagement,0.08066361556064074
pressure,0.08009153318077804
lean,0.08009153318077804
bootstrap,0.07837528604118993
soap,0.07665903890160183
c++,0.07665903890160183
road,0.07551487414187644
full stack,0.07551487414187644
reliability,0.07093821510297482
spring,0.07036613272311212
connectivity,0.07036613272311212
distributed,0.06922196796338673
ux,0.06922196796338673
word,0.06864988558352403
angularjs,0.06750572082379863
redis,0.06750572082379863
ajax,0.06636155606407322
scale,0.06636155606407322
ios,0.06521739130434782
ms sql,0.06407322654462243
devops,0.06350114416475973
mining,0.06350114416475973
code review,0.06350114416475973
relational database,0.062356979405034325
relational databases,0.062356979405034325
mongo,0.062356979405034325
aws,0.06178489702517163
graphics,0.06178489702517163
postgres,0.060068649885583525
docker,0.05892448512585812
mobile development,0.05892448512585812
backend,0.05835240274599542
continuous integration,0.057780320366132724
sass,0.057780320366132724
sales,0.057208237986270026
timiza,0.055491990846681924
mongodb,0.05491990846681922
user interface,0.05434782608695652
emerging,0.05320366132723112
prototype,0.05263157894736842
prototypes,0.05263157894736842
software design,0.05205949656750572
quality assurance,0.05148741418764302
user experience,0.05034324942791762
user experence,0.05034324942791762
object oriented programming,0.05034324942791762
azure,0.05034324942791762
math,0.04977116704805492
