name,hs type
A# .NET,coding
A#,coding
Axiom,coding
A-0 System,coding
A+,coding
A++,coding
ABAP,coding
ABC,coding
ABC ALGOL,coding
ABLE,coding
ABSET,coding
ABSYS,coding
ACC,coding
Accent,coding
Ace DASL,coding
ACL2,coding
ACT-III,coding
Action!,coding
ActionScript,coding
Ada,coding
Adenine,coding
Agda,coding
Agilent VEE,coding
Agora,coding
AIMMS,coding
Alef,coding
ALF,coding
ALGOL 58,coding
ALGOL 60,coding
ALGOL 68,coding
ALGOL W,coding
Alice,coding
Alma-0,coding
AmbientTalk,coding
Amiga E,coding
AMOS,coding
AMPL,coding
APL,coding
App Inventor for Android's visual block language,coding
AppleScript,coding
Arc,coding
ARexx,coding
Argus,coding
AspectJ,coding
Assembly language,coding
ATS,coding
Ateji PX,coding
AutoHotkey,coding
Autocoder,coding
AutoIt,coding
AutoLISP / Visual LISP,coding
Averest,coding
AWK,coding
Axum,coding
B,coding
Babbage,coding
Bash,coding
BASIC,coding
bc,coding
BCPL,coding
BeanShell,coding
Batch (Windows/Dos),coding
Bertrand,coding
BETA,coding
Bigwig,coding
Bistro,coding
BitC,coding
BLISS,coding
Blue,coding
Bon,coding
Boo,coding
Boomerang,coding
Bourne shell,coding
ksh,coding
BREW,coding
BPEL,coding
C,coding
C--,coding
C++,coding
C#,coding
C/AL,coding
Caché ObjectScript,coding
C Shell,coding
Caml,coding
Candle,coding
Cayenne,coding
CDuce,coding
Cecil,coding
Cel,coding
Cesil,coding
Ceylon,coding
CFEngine,coding
CFML,coding
Cg,coding
Ch,coding
Chapel,coding
CHAIN,coding
Charity,coding
Charm,coding
Chef,coding
CHILL,coding
CHIP-8,coding
chomski,coding
ChucK,coding
CICS,coding
Cilk,coding
CL,coding
Claire,coding
Clarion,coding
Clean,coding
Clipper,coding
CLIST,coding
Clojure,coding
CLU,coding
CMS-2,coding
COBOL,coding
Cobra,coding
CODE,coding
CoffeeScript,coding
Cola,coding
ColdC,coding
ColdFusion,coding
COMAL,coding
Combined Programming Language,coding
COMIT,coding
Common Intermediate Language,coding
Common Lisp,coding
COMPASS,coding
Component Pascal,coding
Constraint Handling Rules,coding
Converge,coding
Cool,coding
Coq,coding
Coral 66,coding
Corn,coding
CorVision,coding
COWSEL,coding
CPL,coding
csh,coding
CSP,coding
Csound,coding
CUDA,coding
Curl,coding
Curry,coding
Cyclone,coding
Cython,coding
D,coding
DASL,coding
Dart,coding
DataFlex,coding
Datalog,coding
DATATRIEVE,coding
dBase,coding
dc,coding
DCL,coding
Deesel,coding
Delphi,coding
DinkC,coding
DIBOL,coding
Dog,coding
Draco,coding
DRAKON,coding
Dylan,coding
DYNAMO,coding
E,coding
E#,coding
Ease,coding
Easy PL/I,coding
Easy Programming Language,coding
EASYTRIEVE PLUS,coding
ECMAScript,coding
Edinburgh IMP,coding
EGL,coding
Eiffel,coding
ELAN,coding
Elixir,coding
Elm,coding
Emacs Lisp,coding
Emerald,coding
Epigram,coding
EPL,coding
Erlang,coding
es,coding
Escapade,coding
Escher,coding
ESPOL,coding
Esterel,coding
Etoys,coding
Euclid,coding
Euler,coding
Euphoria,coding
EusLisp Robot Programming Language,coding
CMS EXEC,coding
EXEC 2,coding
Executable UML,coding
F,coding
F#,coding
Factor,coding
Falcon,coding
Fancy,coding
Fantom,coding
